code,name,listing_date
002077,大港股份,2006-11-16
002078,太阳纸业,2006-11-16
002079,苏州固锝,2006-11-16
002080,中材科技,2006-11-20
002081,金螳螂,2006-11-20
002082,万邦德,2006-11-20
002083,孚日股份,2006-11-24
002084,海鸥住工,2006-11-24
002085,万丰奥威,2006-11-28
002086,东方海洋,2006-11-28
002087,新纺退,2006-11-30
002088,鲁阳节能,2006-11-30
002089,新海退,2006-11-30
002090,金智科技,2006-12-08
002091,江苏国泰,2006-12-08
002092,中泰化学,2006-12-08
002093,国脉科技,2006-12-15
002094,青岛金王,2006-12-15
002095,生意宝,2006-12-15
002096,易普力,2006-12-22
002097,山河智能,2006-12-22
002098,浔兴股份,2006-12-22
002099,海翔药业,2006-12-26
002100,天康生物,2006-12-26
002101,广东鸿图,2006-12-29
002102,能特科技,2006-12-29
002103,广博股份,2007-01-10
002104,恒宝股份,2007-01-10
002105,信隆健康,2007-01-12
002106,莱宝高科,2007-01-12
002107,沃华医药,2007-01-24
002108,沧州明珠,2007-01-24
002109,兴化股份,2007-01-26
002110,三钢闽光,2007-01-26
002111,威海广泰,2007-01-26
002112,三变科技,2007-02-08
002113,*ST天润,2007-02-08
002114,罗平锌电,2007-02-15
002115,三维通信,2007-02-15
002116,中国海诚,2007-02-15
002117,东港股份,2007-03-02
002118,*ST紫鑫,2007-03-02
002119,康强电子,2007-03-02
002120,韵达股份,2007-03-06
002121,科陆电子,2007-03-06
002122,ST汇洲,2007-03-28
002123,梦网科技,2007-03-28
002124,天邦食品,2007-04-03
002125,湘潭电化,2007-04-03
002126,银轮股份,2007-04-18
002127,南极电商,2007-04-18
002128,电投能源,2007-04-18
002129,TCL中环,2007-04-20
002130,沃尔核材,2007-04-20
002131,利欧股份,2007-04-27
002132,恒星科技,2007-04-27
002133,广宇集团,2007-04-27
002134,天津普林,2007-05-16
002135,东南网架,2007-05-30
002136,安纳达,2007-05-30
002137,实益达,2007-06-13
002138,顺络电子,2007-06-13
002139,拓邦股份,2007-06-29
002140,东华科技,2007-07-12
002141,贤丰控股,2007-07-20
002142,宁波银行,2007-07-19
002143,印纪退,2007-07-20
002144,宏达高科,2007-08-03
002145,钛能化学,2007-08-03
002146,荣盛发展,2007-08-08
002147,新光退,2007-08-08
002148,北纬科技,2007-08-10
002149,西部材料,2007-08-10
002150,正泰电源,2007-08-10
002151,北斗星通,2007-08-13
002152,广电运通,2007-08-13
002153,石基信息,2007-08-13
002154,报喜鸟,2007-08-16
002155,湖南黄金,2007-08-16
002156,通富微电,2007-08-16
002157,正邦科技,2007-08-17
002158,汉钟精机,2007-08-17
002159,三特索道,2007-08-17
002160,常铝股份,2007-08-21
002161,远望谷,2007-08-21
002162,悦心健康,2007-08-23
002163,海南发展,2007-08-23
002164,宁波东力,2007-08-23
002165,红宝丽,2007-09-13
002166,莱茵生物,2007-09-13
002167,东方锆业,2007-09-13
002168,*ST惠程,2007-09-19
002169,智光电气,2007-09-19
002170,芭田股份,2007-09-19
002171,楚江新材,2007-09-21
002172,澳洋健康,2007-09-21
002173,创新医疗,2007-09-25
002174,游族网络,2007-09-25
002175,东方智造,2007-10-12
002176,江特电机,2007-10-12
002177,御银股份,2007-11-01
002178,延华智能,2007-11-01
002179,中航光电,2007-11-01
002180,纳思达,2007-11-13
002181,粤传媒,2007-11-16
002182,宝武镁业,2007-11-13
002183,怡亚通,2007-11-13
002184,海得控制,2007-11-16
002185,华天科技,2007-11-20
002186,全聚德,2007-11-20
002187,广百股份,2007-11-22
002188,中天服务,2007-11-22
002189,中光学,2007-12-03
002190,成飞集成,2007-12-03
002191,劲嘉股份,2007-12-05
002192,融捷股份,2007-12-05
002193,如意集团,2007-12-07
002194,武汉凡谷,2007-12-07
002195,岩山科技,2007-12-12
002196,方正电机,2007-12-12
002197,证通电子,2007-12-18
002198,嘉应制药,2007-12-18
002199,*ST东晶,2007-12-21
002200,*ST交投,2007-12-21
002201,九鼎新材,2007-12-26
002202,金风科技,2007-12-26
002203,海亮股份,2008-01-16
002204,大连重工,2008-01-16
002205,国统股份,2008-01-23
002206,海利得,2008-01-23
002207,准油股份,2008-01-28
002208,合肥城建,2008-01-28
002209,达意隆,2008-01-30
002210,飞马国际,2008-01-30
002211,ST宏达,2008-02-01
002212,天融信,2008-02-01
002213,大为股份,2008-02-01
002214,*ST大立,2008-02-18
002215,诺普信,2008-02-18
002216,三全食品,2008-02-20
002217,合力泰,2008-02-20
002218,拓日新能,2008-02-28
002219,新里程,2008-03-06
002220,天宝退,2008-02-28
002221,东华能源,2008-03-06
002222,福晶科技,2008-03-19
002223,鱼跃医疗,2008-04-18
002224,三力士,2008-04-25
002225,濮耐股份,2008-04-25
002226,江南化工,2008-05-06
002227,奥特迅,2008-05-06
002228,合兴包装,2008-05-08
002229,鸿博股份,2008-05-08
002230,科大讯飞,2008-05-12
002231,*ST奥维,2008-05-12
002232,启明信息,2008-05-09
002233,塔牌集团,2008-05-16
002234,民和股份,2008-05-16
002235,安妮股份,2008-05-16
002236,大华股份,2008-05-20
002237,恒邦股份,2008-05-20
002238,天威视讯,2008-05-26
002239,奥特佳,2008-05-22
002240,盛新锂能,2008-05-23
002241,歌尔股份,2008-05-22
002242,九阳股份,2008-05-28
002243,力合科创,2008-05-28
002244,滨江集团,2008-05-29
002245,蔚蓝锂芯,2008-06-05
002246,北化股份,2008-06-05
002247,聚力文化,2008-06-12
002248,华东数控,2008-06-12
002249,大洋电机,2008-06-19
002250,联化科技,2008-06-19
002251,步步高,2008-06-19
002252,上海莱士,2008-06-23
002253,*ST智胜,2008-06-23
002254,泰和新材,2008-06-25
002255,海陆重工,2008-06-25
002256,兆新股份,2008-06-25
002257,立立电子,
002258,利尔化学,2008-07-08
002259,升达林业,2008-07-16
